country_id,country_name
1,Acores Et Madere
2,Afghanistan
3,Afrika Barat  Rep
4,Albania
5,Algeria
6,Angola
7,Antigua and Barbuda
8,Argentina
9,Australia
10,Austria
11,Azerbaijan
12,Bahamas
13,Bahrain
14,Bangladesh
15,Barbados
16,Belgium
17,Belize
18,Benin
19,Bermuda
20,Bhutan
21,Bolivia
22,Botswana
23,Brazil
24,Brunei Darussalam
25,Bulgaria (rep)
26,Burkina Faso
27,Burundi
28,Cambodia
29,Cameroon
30,Canada
31,Cayman Islands
32,Ceko
33,Central African Rep
34,Chad
35,Chile
36,China (people_s rep)
37,Colombia
38,Comoros
39,Congo (rep)
40,Cook islands
41,Costa rica
42,Cote D_Ivoire (rep)- Pantai Gading
43,Cuba
44,Cyprus
45,Czech Rep
46,Dem People_s Rep of Korea
47,Denmark
48,Djibouti
49,Dominica
50,Dominican Republic
51,Ecuador
52,Egypt
53,El Salvador
54,Equatorial Guinea
55,Eritrea
56,Ethiopia
57,Faroe Islands
58,Fiji
59,Finland
60,Former Yugoslavian  Rep. of Macedonia
61,France
62,French Guiana
63,French Polynesia
64,Gabon
65,Gambia
66,Germany
67,Ghana
68,Gibraltar
69,Great Britain (Inggris)
70,Greece
71,Greenland
72,Grenada
73,Guadeloupe
74,Guam
75,Guatemala
76,Guinea
77,Guinea-Bissau
78,Guyana
79,Haiti
80,Honduras (rep)
81,Hongkong
82,Hungary (rep)
83,Iceland
84,India
85,Iran (Islamic rep)
86,Iraq
87,Ireland
88,Israel
89,Italy
90,Jamaica
91,Japan
92,Jordan
93,Kazakhstan
94,Kenya
95,Kiribati
96,Korea (rep)
97,Kuwait
98,Laos People_s Dem Rep
99,Lebanon
100,Lesotho
101,Liberia
102,Libyan Jamahiriya
103,Luxembourg
104,Macao
105,Madagascar
106,Madeira
107,Malawi
108,Malaysia
109,Maldives
110,Mali
111,Malta
112,Mariana Islands
113,Martinique
114,Mauritania
115,Mauritius
116,Mexico
117,Mongolia
118,Montserrat
119,Morocco
120,Mozambique
121,Myanmar
122,Namibia
123,Nauru
124,Nepal
125,Netherlands
126,Netherlands Antilles
127,New Caledonia
128,New Zealand
129,Nicaragua
130,Niger
131,Nigeria
132,Norway
133,Oman
134,Pakistan
135,Panama
136,Papua New Guinea
137,Paraguay
138,Peru
139,Philippines
140,Poland (rep)
141,Portugal
142,Qatar
143,Romania
144,Russian Federation
145,Rwanda
146,Samoa Barat
147,Saudi Arabia
148,"Scattered Islands, Reunion"
149,Senegal
150,Seychelles
151,Sierra Leone
152,Singapore
153,Slovak Rep
154,Solomon Islands
155,South Africa
156,Spain
157,Sri Lanka
158,St Helena
159,Sudan
160,Suriname
161,Swaziland
162,Sweden
163,Switzerland
164,Syrian Arab Rep.
165,Taiwan
166,Tanzania (United Rep)
167,Thailand
168,Timor-Leste
169,Togo
170,Tonga
171,Tortola
172,Trinidad and Tobago
173,Tunisia
174,Turkey
175,Turks Cay Islands
176,Tuvalu
177,Uganda
178,United Arab Emirates
179,United States of America
180,Uruguay
181,Vanuatu
182,Vatican
183,Venezuela
184,Viet nam
185,Western Samoa
186,Yemen
187,Zambia
188,Zimbabwe
189,Andora
190,Armenia
191,Aruba
192,Belarus
193,Bonaire
194,Bosnia & Herzegovina
195,"Canary Islands, The"
196,Cape Verde
197,Channel Islands
198,Croatia
199,Curacao
200,Estonia
201,Etrea
202,Falkand Islands
203,Georgia
204,Guerensey
205,Jersey
206,Kyrgysztan
207,Latvia
208,Liechtenstein
209,Lithuania
210,"Moldova, Rep. of"
211,Monaco
212,Montenegro Rep The
213,Nevis
214,Niue
215,Puerto Rico
216,"Reunion, Island of"
217,Saipan
218,Serbia Rep The
219,Slovenia
220,Somalia
221,St. Barthelemy
222,St. Eustatius
223,St. Kitts
224,St. Lucia
225,St. Maarten
226,St. Vincent
227,Tahiti
228,Tajikistan
229,Turkmenistan
230,Ukraine
231,Uzbekistan
232,Virgin Islands (British)
233,Virgin Islands (USA)
234,Yugoslavia
235,Zaire
